,city,cuisines,longitude,latitude,priceRangeMin,priceRangeMax,websites
8060,Houston,"Asian/Pacific,Health Food,Vegetarian,Chinese",-95.555054,29.704541,0.0,0.0,httpss://www.facebook.com/Juice-Box-191386806421/
8134,New York,"Vegetarian,Breakfast and Brunch",-73.991848,40.759434000000006,0.0,25.0,httpss://www.facebook.com/blossomdujour
8187,Minnetonka,"Traditional American,Health Food,Vegetarian",-93.4708,44.9375,0.0,0.0,https://www.themarsh.com
8252,Flushing,"Indian,Vegetarian,Take Out Restaurants",-73.81675899999999,40.752542,25.0,40.0,https://www.dosahutt.com
8274,Chicago,"Italian,American,Bar,Vegetarian Friendly,Gluten Free Options,Vegan Options",-87.630268,41.889212,40.0,55.0,https://www.sienatavern.com
8447,Olympia,Vegetarian,-122.89783200000001,47.045206,0.0,25.0,https://www.levoyeur.netfirms.com
8472,Pittsburgh,"American,Vegetarian Friendly,Gluten Free Options,Vegan Options",-80.002382,40.442822,25.0,40.0,https://www.sixpennkitchen.com
8689,Seattle,"American,Breakfast and Brunch,Cafe,Contemporary American, Vegetarian / Vegan, Global, International",-122.3073,47.62441,25.0,40.0,https://aneighborhoodcafe.com
8788,San Jose,"Persian,Vegetarian Restaurants",-121.89801000000001,37.257359,0.0,0.0,https://www.sjziba.com/
8800,Miami Beach,"Vegetarian,Breakfast and Brunch",-80.13221,25.785057000000002,25.0,40.0,https://juiceandjava-hub.com
8912,Key West,Vegetarian,-81.80175,24.55486,25.0,40.0,https://thecafekw.com
8948,Salt Lake City,"Middle Eastern,Lebanese,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",-111.8649,40.7496,0.0,25.0,https://www.mazzacafe.com
9038,Phoenix,"Vegetarian,Indian",-112.151106,33.63917,0.0,0.0,
9050,Portland,"New American,Traditional American,American,Vegetarian Friendly,Gluten Free Options,Vegan Options,Northwest, American",-122.6783,45.5211,25.0,40.0,https://www.imperialpdx.com
9358,Rancho Santa Fe,"French,Vegetarian,French, Continental, American",-117.203704,33.019395,31.0,50.0,https://www.millefleurs.com
9380,San Diego,"Vegetarian,Breakfast and Brunch",-117.205,32.74943,25.0,40.0,https://thenakedcafe.com
